TIME;HICP;CPI
Dez 00;76.91;174.6
Jan 01;76.83;175.6
Feb 01;76.96;176
Mrz 01;77.1;176.1
Apr 01;77.36;176.4
Mai 01;77.68;177.3
Jun 01;77.93;177.7
Jul 01;78.01;177.4
Aug 01;78.02;177.4
Sep 01;78.16;178.1
Okt 01;78.21;177.6
Nov 01;78.32;177.5
Dez 01;78.51;177.4
Jan 02;78.87;177.7
Feb 02;78.9;178
Mrz 02;79.06;178.5
Apr 02;79.21;179.3
Mai 02;79.3;179.5
Jun 02;79.4;179.6
Jul 02;79.59;180
Aug 02;79.71;180.5
Sep 02;79.83;180.8
Okt 02;79.99;181.2
Nov 02;80.1;181.5
Dez 02;80.32;181.8
Jan 03;80.58;182.6
Feb 03;80.82;183.6
Mrz 03;80.97;183.9
Apr 03;80.88;183.2
Mai 03;80.78;182.9
Jun 03;81.01;183.1
Jul 03;81.16;183.7
Aug 03;81.33;184.5
Sep 03;81.55;185.1
Okt 03;81.63;184.9
Nov 03;81.84;185
Dez 03;81.92;185.5
Jan 04;82.1;186.3
Feb 04;82.21;186.7
Mrz 04;82.39;187.1
Apr 04;82.56;187.4
Mai 04;82.78;188.2
Jun 04;82.96;188.9
Jul 04;83.06;189.1
Aug 04;83.25;189.2
Sep 04;83.29;189.8
Okt 04;83.56;190.8
Nov 04;83.67;191.7
Dez 04;83.83;191.7
Jan 05;83.74;191.6
Feb 05;83.99;192.4
Mrz 05;84.21;193.1
Apr 05;84.29;193.7
Mai 05;84.43;193.6
Jun 05;84.62;193.7
Jul 05;84.82;194.9
Aug 05;85.06;196.1
Sep 05;85.46;198.8
Okt 05;85.61;199.1
Nov 05;85.59;198.1
Dez 05;85.72;198.1
Jan 06;85.86;199.3
Feb 06;86.03;199.4
Mrz 06;86.08;199.7
Apr 06;86.36;200.7
Mai 06;86.55;201.3
Jun 06;86.67;201.8
Jul 06;86.92;202.9
Aug 06;87.04;203.8
Sep 06;86.98;202.8
Okt 06;86.98;201.9
Nov 06;87.17;202
Dez 06;87.35;203.1
Jan 07;87.52;203.437
Feb 07;87.69;204.226
Mrz 07;87.77;205.288
Apr 07;88;205.904
Mai 07;88.18;206.755
Jun 07;88.29;207.234
Jul 07;88.49;207.603
Aug 07;88.58;207.667
Sep 07;88.86;208.547
Okt 07;89.23;209.19
Nov 07;89.87;210.834
Dez 07;90.05;211.445
